               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.012068,           0.0075292,                   0,             0.99966,                   1,               0.995,              0.8335,             0.00467,           0.0023142,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.013125,           0.0076889,                   0,             0.99973,                   1,               0.995,             0.84788,           0.0044481,           0.0023935,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.013374,           0.0074528,                   0,             0.99933,                   1,               0.995,             0.84149,           0.0045512,           0.0022696,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.011201,           0.0072192,                   0,              0.9995,                   1,               0.995,             0.83403,           0.0044096,           0.0023282,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.011215,            0.007219,                   0,             0.99956,                   1,               0.995,             0.83756,           0.0042974,           0.0023909,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.013628,           0.0072666,                   0,             0.99946,                   1,               0.995,             0.84245,           0.0045542,           0.0023327,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.013506,           0.0071221,                   0,             0.99953,                   1,               0.995,             0.83435,           0.0048441,           0.0022769,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.015503,           0.0073048,                   0,             0.99964,                   1,               0.995,             0.86324,           0.0041944,           0.0022165,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.014729,           0.0071191,                   0,              0.9995,                   1,               0.995,             0.83447,           0.0046156,           0.0022493,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.014011,           0.0072119,                   0,             0.99953,                   1,               0.995,             0.85331,           0.0043278,           0.0021957,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.014323,           0.0074615,                   0,             0.99956,                   1,               0.995,             0.86603,           0.0042346,           0.0022034,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.014232,           0.0073734,                   0,             0.99955,                   1,               0.995,             0.85691,           0.0044922,           0.0022788,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.014424,           0.0074481,                   0,             0.99954,                   1,               0.995,             0.85933,           0.0043975,           0.0022628,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.013015,           0.0072408,                   0,             0.99956,                   1,               0.995,             0.84551,           0.0043267,           0.0022756,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.014684,           0.0073135,                   0,             0.99968,                   1,               0.995,              0.8541,           0.0044483,           0.0023551,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.012974,           0.0071848,                   0,             0.99961,                   1,               0.995,             0.86699,           0.0042674,           0.0022884,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.012743,           0.0069794,                   0,             0.99951,                   1,               0.995,             0.85783,           0.0044238,           0.0023523,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.013733,           0.0069813,                   0,             0.99971,                   1,               0.995,             0.86609,           0.0044925,           0.0022702,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.012988,            0.006965,                   0,             0.99964,                   1,               0.995,             0.87146,           0.0043845,           0.0022821,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.012332,           0.0068548,                   0,             0.99959,                   1,               0.995,             0.85404,           0.0044036,           0.0023777,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.014862,           0.0069712,                   0,              0.9996,                   1,               0.995,             0.85523,           0.0042674,           0.0023724,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.014638,            0.007686,                   0,             0.99952,                   1,               0.995,             0.85034,           0.0046218,           0.0022525,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.014797,           0.0071508,                   0,              0.9997,                   1,               0.995,             0.84244,            0.004556,           0.0022551,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.013339,           0.0070347,                   0,             0.99949,                   1,               0.995,             0.85578,           0.0042446,            0.002271,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.012353,           0.0069316,                   0,             0.99955,                   1,               0.995,             0.85438,           0.0043307,           0.0022758,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.012597,           0.0067716,                   0,             0.99953,                   1,               0.995,             0.86195,           0.0042152,           0.0022325,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.012183,           0.0073462,                   0,             0.99956,                   1,               0.995,              0.8478,            0.004421,           0.0023911,                   0,            0.006238,            0.006238,            0.006238
